question,answer
"What is 2 + 2?","2 + 2 equals 4."
"What is 5 + 3?","5 + 3 equals 8."
"What is 10 − 4?","10 − 4 equals 6."
"What is 3 × 2?","3 × 2 equals 6."
"What is 8 ÷ 2?","8 ÷ 2 equals 4."
"What is 15 + 27?","Add the tens: 10 + 20 = 30. Add the units: 5 + 7 = 12. Total: 30 + 12 = 42. So, 15 + 27 = 42."
"What is 56 − 19?","Subtract 10: 56 − 10 = 46. Subtract 9: 46 − 9 = 37. So, 56 − 19 = 37."
"What is 8 × 9?","Multiply: 8 × 9 = 72. So, 8 × 9 = 72."
"What is 0.4 + 0.7?","Add decimals: 0.4 + 0.7 = 1.1. So, 0.4 + 0.7 = 1.1."
"What is 100 ÷ 5?","Divide: 100 ÷ 5 = 20. So, 100 ÷ 5 = 20."
"What is −10 − (−3)?","Subtracting a negative is adding: −10 + 3 = −7. So, −10 − (−3) = −7."
"What is 7 − (−2)?","Subtracting a negative is adding: 7 + 2 = 9. So, 7 − (−2) = 9."
"What is −5 + 8?","Move 5 steps left from 0, then 8 steps right: 8 − 5 = 3. So, −5 + 8 = 3."
"What is (−2) × (−3)?","Two negatives make a positive: −2 × −3 = 6. So, (−2) × (−3) = 6."
"What is the next number in the pattern 2, 4, 6, 8?","Each number increases by 2: 2 + 2 = 4, 4 + 2 = 6, 6 + 2 = 8. Next: 8 + 2 = 10. So, the next number is 10."
"What is the next number in the pattern 5, 10, 15, 20?","Each number increases by 5: 5 + 5 = 10, 10 + 5 = 15, 15 + 5 = 20. Next: 20 + 5 = 25. So, the next number is 25."
"What is 123 + 456?","Add hundreds: 100 + 400 = 500. Add tens: 20 + 50 = 70. Add units: 3 + 6 = 9. Total: 500 + 70 + 9 = 579. So, 123 + 456 = 579."
"What is 789 − 234?","Subtract hundreds: 700 − 200 = 500. Subtract tens: 80 − 30 = 50. Subtract units: 9 − 4 = 5. Total: 500 + 50 + 5 = 555. So, 789 − 234 = 555."
"What is 12 × 15?","Multiply: 12 × 15 = 180. So, 12 × 15 = 180."
"What is 144 ÷ 12?","Divide: 144 ÷ 12 = 12. So, 144 ÷ 12 = 12."
"What is 0.25 + 0.75?","Add decimals: 0.25 + 0.75 = 1.0. So, 0.25 + 0.75 = 1."
"What is 3.14 − 1.5?","Subtract decimals: 3.14 − 1.5 = 1.64. So, 3.14 − 1.5 = 1.64."
"What is 2/3 + 1/3?","Add fractions with same denominator: 2/3 + 1/3 = 3/3 = 1. So, 2/3 + 1/3 = 1."
"What is 1/2 of 10?","Divide 10 by 2: 10 ÷ 2 = 5. So, 1/2 of 10 = 5."
"What is −15 + (−10)?","Add negatives: −15 + (−10) = −25. So, −15 + (−10) = −25."
"What is (−4) × 6?","Multiply: (−4) × 6 = −24. So, (−4) × 6 = −24."
"What is the next number in the pattern 1, 4, 9, 16?","These are squares: 1^2, 2^2, 3^2, 4^2. Next: 5^2 = 25. So, the next number is 25."
"What is 999 + 1?","Add: 999 + 1 = 1000. So, 999 + 1 = 1000."
"What is 1000 − 500?","Subtract: 1000 − 500 = 500. So, 1000 − 500 = 500."
"What is 7 × 8 × 9?","Multiply step-by-step: 7 × 8 = 56, 56 × 9 = 504. So, 7 × 8 × 9 = 504."
